numero_commande;transporteur;lien_tracking;date_prevue
CMD-01;HEP;https://myportal.heppner-group.com/tracking/UOEyNjE3MyYzMzEyMCZGUg%3D%3D;
CMD-02;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=ShippersRefNo&uiMode=&refNumber=kUNmSwaPlEGMoX11x;
CMD-03;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=;
CMD-04;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=ShippersRefNo&uiMode=&refNumber=5SlDG93xLWQ9wbHGt;
CMD-05;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=;
CMD-06;HEP;https://myportal.heppner-group.com/tracking/UOEyNjE3MiYzMzEyMCZGUg%3D%3D;
CMD-07;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=;
CMD-08;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26754;
CMD-09;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=ShippersRefNo&uiMode=&refNumber=H3Az9AVSBtXaoegMg;
CMD-10;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=sn6s4YkQQOVOaojZp;
CMD-11;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=yXUAAmOk1aBuby3BQ;
CMD-12;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=TDal7CEo4MKblkSwO;
CMD-13;DHL;;
CMD-14;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26760;
